Timestamp,User Count,Type,Name,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%,Total Request Count,Total Failure Count,Total Median Response Time,Total Average Response Time,Total Min Response Time,Total Max Response Time,Total Average Content Size
1747044930,0,,Aggregated,0.000000,0.000000,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0,0,0,0.0,0,0,0
1747044931,5,GET,GET /api/books,0.000000,0.000000,0,0,0,0,0,0,0,0,0,0,0,1,0,13.936709001427516,13.936709001427516,13.936709001427516,13.936709001427516,69676.0
1747044931,5,,Aggregated,0.000000,0.000000,0,0,0,0,0,0,0,0,0,0,0,1,0,13.936709001427516,13.936709001427516,13.936709001427516,13.936709001427516,69676.0
1747044932,10,GET,GET /api/books,0.000000,0.000000,39,39,39,39,39,39,39,39,39,39,39,2,0,14,26.265146501827985,13.936709001427516,38.593584002228454,70223.5
1747044932,10,GET,GET /api/books/book-id/:id,0.000000,0.000000,0,0,0,0,0,0,0,0,0,0,0,2,0,710.0,711.7571039998438,708.2162919978146,715.2979160018731,2185.0
1747044932,10,,Aggregated,0.000000,0.000000,710,710,720,720,720,720,720,720,720,720,720,4,0,39,369.0111252508359,13.936709001427516,715.2979160018731,36204.25
1747044933,10,GET,GET /api/books,0.000000,0.000000,2800,2800,2800,2800,2800,2800,2800,2800,2800,2800,2800,4,0,39,1418.5815002565505,13.936709001427516,2835.24033302092,70361.75
1747044933,10,GET,GET /api/books/book-id/:id,0.000000,0.000000,720,720,720,720,720,720,720,720,720,720,720,2,0,710.0,711.7571039998438,708.2162919978146,715.2979160018731,2185.0
1747044933,10,,Aggregated,0.000000,0.000000,720,2800,2800,2800,2800,2800,2800,2800,2800,2800,2800,6,0,710.0,1182.9733681709815,13.936709001427516,2835.24033302092,47636.166666666664
1747044934,10,GET,GET /api/books,1.000000,0.000000,2800,2800,3100,3100,3400,3400,3400,3400,3400,3400,3400,8,0,2700.0,2214.025338747888,13.936709001427516,3417.6677499781363,69929.75
1747044934,10,GET,GET /api/books/book-id/:id,0.000000,0.000000,720,720,720,720,720,720,720,720,720,720,720,2,0,710.0,711.7571039998438,708.2162919978146,715.2979160018731,2185.0
1747044934,10,,Aggregated,1.000000,0.000000,2700,2800,2800,3100,3400,3400,3400,3400,3400,3400,3400,10,0,2700.0,1913.571691798279,13.936709001427516,3417.6677499781363,56380.8
1747044935,10,GET,GET /api/books,1.000000,0.000000,2800,2800,3100,3100,3400,3400,3400,3400,3400,3400,3400,8,0,2700.0,2214.025338747888,13.936709001427516,3417.6677499781363,69929.75
1747044935,10,GET,GET /api/books/book-id/:id,0.000000,0.000000,720,720,720,720,720,720,720,720,720,720,720,2,0,710.0,711.7571039998438,708.2162919978146,715.2979160018731,2185.0
1747044935,10,,Aggregated,1.000000,0.000000,2700,2800,2800,3100,3400,3400,3400,3400,3400,3400,3400,10,0,2700.0,1913.571691798279,13.936709001427516,3417.6677499781363,56380.8
1747044936,10,GET,GET /api/books,1.000000,0.000000,2800,2800,3100,3100,3400,3400,3400,3400,3400,3400,3400,8,0,2700.0,2214.025338747888,13.936709001427516,3417.6677499781363,69929.75
1747044936,10,GET,GET /api/books/book-id/:id,0.000000,0.000000,720,720,720,720,720,720,720,720,720,720,720,2,0,710.0,711.7571039998438,708.2162919978146,715.2979160018731,2185.0
1747044936,10,,Aggregated,1.000000,0.000000,2700,2800,2800,3100,3400,3400,3400,3400,3400,3400,3400,10,0,2700.0,1913.571691798279,13.936709001427516,3417.6677499781363,56380.8
1747044937,10,GET,GET /api/books,1.000000,0.000000,2800,2800,3100,3100,3400,3400,3400,3400,3400,3400,3400,8,0,2700.0,2214.025338747888,13.936709001427516,3417.6677499781363,69929.75
1747044937,10,GET,GET /api/books/book-id/:id,0.000000,0.000000,720,720,720,720,720,720,720,720,720,720,720,2,0,710.0,711.7571039998438,708.2162919978146,715.2979160018731,2185.0
1747044937,10,,Aggregated,1.000000,0.000000,2700,2800,2800,3100,3400,3400,3400,3400,3400,3400,3400,10,0,2700.0,1913.571691798279,13.936709001427516,3417.6677499781363,56380.8
1747044938,10,GET,GET /api/books,1.600000,0.000000,2800,2800,3100,3100,3400,3400,3400,3400,3400,3400,3400,8,0,2700.0,2214.025338747888,13.936709001427516,3417.6677499781363,69929.75
1747044938,10,GET,GET /api/books/book-id/:id,0.400000,0.000000,710,710,720,720,720,720,720,720,720,720,720,3,0,710.0,618.9342639991082,433.28858399763703,715.2979160018731,2129.3333333333335
1747044938,10,,Aggregated,2.000000,0.000000,2700,2800,2800,3100,3400,3400,3400,3400,3400,3400,3400,11,0,2700.0,1779.000500180039,13.936709001427516,3417.6677499781363,51438.72727272727
1747044939,10,GET,GET /api/books,1.333333,0.000000,2800,2800,3100,3100,3400,3400,3400,3400,3400,3400,3400,9,0,2700.0,1970.6994724401738,13.936709001427516,3417.6677499781363,70023.22222222222
1747044939,10,GET,GET /api/books/book-id/:id,0.333333,0.000000,710,710,720,720,720,720,720,720,720,720,720,3,0,710.0,618.9342639991082,433.28858399763703,715.2979160018731,2129.3333333333335
1747044939,10,,Aggregated,1.666667,0.000000,2700,2800,2800,2800,3100,3400,3400,3400,3400,3400,3400,12,0,720.0,1632.7581703299074,13.936709001427516,3417.6677499781363,53049.75
1747044940,10,GET,GET /api/books,1.000000,0.000000,2700,2800,2800,3100,3400,3400,3400,3400,3400,3400,3400,10,0,2700.0,1776.9035710953176,13.936709001427516,3417.6677499781363,69734.1
1747044940,10,GET,GET /api/books/book-id/:id,0.375000,0.000000,430,710,710,720,720,720,720,720,720,720,720,5,0,430.0,540.7337666023523,418.7545409949962,715.2979160018731,2052.0
1747044940,10,,Aggregated,1.375000,0.000000,720,2700,2800,2800,3100,3400,3400,3400,3400,3400,3400,15,0,710.0,1364.8469695976626,13.936709001427516,3417.6677499781363,47173.4
1747044941,10,GET,GET /api/books,1.000000,0.000000,2700,2800,2800,3100,3400,3400,3400,3400,3400,3400,3400,11,0,2700.0,1616.9378449055578,13.936709001427516,3417.6677499781363,69497.54545454546
1747044941,10,GET,GET /api/books/book-id/:id,0.375000,0.000000,430,430,710,710,720,720,720,720,720,720,720,7,0,430.0,445.918833288098,12.558250018628314,715.2979160018731,2114.8571428571427
1747044941,10,,Aggregated,1.375000,0.000000,430,2700,2800,2800,3100,3400,3400,3400,3400,3400,3400,18,0,430.0,1161.541562609879,12.558250018628314,3417.6677499781363,43293.166666666664
